ID;Package name;Clone dir;Commit hash;Release;Commit date;Release date;Time interval
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.4.0a3;2015-05-30;2018-08-20;1175
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.4.0b1;2015-05-30;2018-08-24;1179
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.4.0b2;2015-05-30;2018-08-24;1179
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.4.1;2015-05-30;2018-08-28;1183
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.4.2;2015-05-30;2018-09-01;1186
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.4.3;2015-05-30;2018-09-04;1189
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.4.4;2015-05-30;2018-09-05;1190
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.5.0;2015-05-30;2018-12-22;1297
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.5.0a1;2015-05-30;2018-11-20;1265
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.5.0b1;2015-05-30;2018-12-20;1295
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.5.0b2;2015-05-30;2018-12-21;1296
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.5.0b3;2015-05-30;2018-12-22;1297
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.5.1;2015-05-30;2018-12-24;1299
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.5.2;2015-05-30;2019-01-08;1318
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.5.3;2015-05-30;2019-01-10;1320
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.5.4;2015-05-30;2019-01-12;1322
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.6.0;2015-05-30;2019-09-06;1556
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.6.0a0;2015-05-30;2019-08-12;1532
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.6.0a1;2015-05-30;2019-08-12;1532
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.6.0a10;2015-05-30;2019-08-29;1549
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.6.0a11;2015-05-30;2019-08-29;1549
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.6.0a12;2015-05-30;2019-08-29;1549
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.6.0a2;2015-05-30;2019-08-19;1539
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.6.0a3;2015-05-30;2019-08-19;1539
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.6.0a4;2015-05-30;2019-08-20;1540
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.6.0a5;2015-05-30;2019-08-20;1540
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.6.0a6;2015-05-30;2019-08-20;1540
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.6.0a7;2015-05-30;2019-08-20;1540
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.6.0a8;2015-05-30;2019-08-21;1541
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.6.0a9;2015-05-30;2019-08-29;1549
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.6.0b0;2015-05-30;2019-09-05;1555
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.6.1;2015-05-30;2019-09-19;1569
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.6.1b3;2015-05-30;2019-09-15;1565
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.6.1b4;2015-05-30;2019-09-17;1567
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.6.2;2015-05-30;2019-10-09;1589
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.6.2a0;2015-05-30;2019-10-09;1589
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.6.2a1;2015-05-30;2019-10-09;1589
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.6.2a2;2015-05-30;2019-10-09;1589
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.6.3;2015-05-30;2020-10-12;1957
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.7.0;2015-05-30;2020-10-24;1969
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.7.0b0;2015-05-30;2020-10-21;1966
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.7.0b1;2015-05-30;2020-10-22;1967
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.7.1;2015-05-30;2020-10-25;1970
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v3.7.2;2015-05-30;2020-10-27;1972
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v4.0.0a0;2015-05-30;2019-01-09;1319
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v4.0.0a1;2015-05-30;2019-10-09;1589
111;aioxmpp;aioxmpp;29ff0838a40f58efe30a4bbcea95aa8dab7da475;v0.11.0;2019-01-10;2020-04-10;455
172;apache-airflow;airflow;fe9ebe3ccf5fec4c491343659aa0c52e4125f66b;1.10.0;2017-03-28;2018-08-08;495
172;apache-airflow;airflow;fe9ebe3ccf5fec4c491343659aa0c52e4125f66b;1.10.0rc1;2017-03-28;2018-07-08;465
172;apache-airflow;airflow;fe9ebe3ccf5fec4c491343659aa0c52e4125f66b;1.10.0rc2;2017-03-28;2018-07-15;472
172;apache-airflow;airflow;fe9ebe3ccf5fec4c491343659aa0c52e4125f66b;1.10.0rc3;2017-03-28;2018-08-03;490
172;apache-airflow;airflow;fe9ebe3ccf5fec4c491343659aa0c52e4125f66b;1.10.0rc4;2017-03-28;2018-08-08;495
172;apache-airflow;airflow;fe9ebe3ccf5fec4c491343659aa0c52e4125f66b;1.10.1;2017-03-28;2018-11-14;591
172;apache-airflow;airflow;fe9ebe3ccf5fec4c491343659aa0c52e4125f66b;1.10.10;2017-03-28;2020-04-09;1106
172;apache-airflow;airflow;fe9ebe3ccf5fec4c491343659aa0c52e4125f66b;1.10.10rc1;2017-03-28;2020-04-03;1100
172;apache-airflow;airflow;fe9ebe3ccf5fec4c491343659aa0c52e4125f66b;1.10.10rc2;2017-03-28;2020-04-03;1100
172;apache-airflow;airflow;fe9ebe3ccf5fec4c491343659aa0c52e4125f66b;1.10.10rc3;2017-03-28;2020-04-05;1102
172;apache-airflow;airflow;fe9ebe3ccf5fec4c491343659aa0c52e4125f66b;1.10.10rc4;2017-03-28;2020-04-06;1103
172;apache-airflow;airflow;fe9ebe3ccf5fec4c491343659aa0c52e4125f66b;1.10.10rc5;2017-03-28;2020-04-09;1106
172;apache-airflow;airflow;fe9ebe3ccf5fec4c491343659aa0c52e4125f66b;1.10.11;2017-03-28;2020-07-07;1194
172;apache-airflow;airflow;fe9ebe3ccf5fec4c491343659aa0c52e4125f66b;1.10.11rc1;2017-03-28;2020-07-02;1189
172;apache-airflow;airflow;fe9ebe3ccf5fec4c491343659aa0c52e4125f66b;1.10.11rc2;2017-03-28;2020-07-07;1194
172;apache-airflow;airflow;fe9ebe3ccf5fec4c491343659aa0c52e4125f66b;1.10.12;2017-03-28;2020-08-22;1239
172;apache-airflow;airflow;fe9ebe3ccf5fec4c491343659aa0c52e4125f66b;1.10.12rc1;2017-03-28;2020-08-15;1232
172;apache-airflow;airflow;fe9ebe3ccf5fec4c491343659aa0c52e4125f66b;1.10.12rc2;2017-03-28;2020-08-18;1235
172;apache-airflow;airflow;fe9ebe3ccf5fec4c491343659aa0c52e4125f66b;1.10.12rc3;2017-03-28;2020-08-20;1237
172;apache-airflow;airflow;fe9ebe3ccf5fec4c491343659aa0c52e4125f66b;1.10.12rc4;2017-03-28;2020-08-22;1239
172;apache-airflow;airflow;fe9ebe3ccf5fec4c491343659aa0c52e4125f66b;1.10.1b1;2017-03-28;2018-11-09;586
172;apache-airflow;airflow;fe9ebe3ccf5fec4c491343659aa0c52e4125f66b;1.10.1rc1;2017-03-28;2018-11-13;590
172;apache-airflow;airflow;fe9ebe3ccf5fec4c491343659aa0c52e4125f66b;1.10.1rc2;2017-03-28;2018-11-14;591
172;apache-airflow;airflow;fe9ebe3ccf5fec4c491343659aa0c52e4125f66b;1.10.2;2017-03-28;2019-01-19;661
