package_name;pypi_downloads;github_url;stars;last_commit;commit_freq;release_freq;open_issues;closed_issues;api_closed_issues;avg_days_to_close_issue;contributors;dep_repos;dep_pkgs
pathspec;54502687;https://github.com/cpburnz/python-path-specification;77;2020-11-07;1;;7;17;16;29;15;;
marshmallow;43434528;https://github.com/marshmallow-code/marshmallow;5391;2021-03-18;33;;109;897;100;12;162;24864;884
tfx-bsl;63661831;https://github.com/tensorflow/tfx-bsl;29;2021-03-18;15;26;2;3;3;72;4;;
nose;30484099;https://github.com/nose-devs/nose;1330;2016-03-04;9;;393;461;100;101;78;100405;4762
subprocess32;17736379;https://github.com/google/python-subprocess32;164;2020-06-16;2;;1;36;35;180;6;;
slackclient;52396973;https://github.com/slackapi/python-slack-sdk;3095;2021-03-22;12;29;13;503;100;14;107;;
selenium;35653742;https://github.com/seleniumhq/selenium;20375;2021-03-22;272;23;193;6948;100;4;564;88597;1755
opencv-python;30848947;https://github.com/opencv/opencv-python;1841;2020-12-28;12;36;18;382;100;8;22;;
html5lib;30502227;https://github.com/html5lib/html5lib-python;896;2020-08-08;16;;79;158;100;122;51;84209;676
qtpy;67812048;https://github.com/spyder-ide/qtpy;492;2020-06-19;7;;25;69;69;96;27;36595;220
pytest-runner;43806179;https://github.com/pytest-dev/pytest-runner;53;2021-02-12;6;39;0;41;41;101;19;9817;666
applicationinsights;39146320;https://github.com/microsoft/applicationinsights-python;114;2019-09-09;3;105;42;39;39;112;30;1323;29
toolz;31711439;https://github.com/pytoolz/toolz;3474;2020-09-24;12;119;70;130;100;102;66;35862;574
mypy;38850532;https://github.com/python/mypy;10378;2021-03-21;95;;1600;4545;100;2;434;28411;1928
xlsxwriter;41528800;https://github.com/jmcnamara/xlsxwriter;2493;2021-01-07;11;;15;685;100;15;38;32536;624
sentry-sdk;34580272;https://github.com/getsentry/sentry-python;873;2021-03-22;36;7;123;364;100;11;90;9347;386
snowballstemmer;32238944;https://github.com/snowballstem/snowball;486;2021-03-10;8;;10;42;42;208;23;45765;194
pandas-gbq;63071558;https://github.com/pydata/pandas-gbq;244;2021-01-19;4;53;31;158;100;78;28;1931;57
sortedcontainers;75066629;https://github.com/grantjenks/python-sortedcontainers;2109;2020-11-08;7;64;11;117;100;72;18;;
text-unidecode;36849002;https://github.com/kmike/text-unidecode;46;2019-08-30;0;608;1;1;1;46;5;24428;81
xgboost;32914740;https://github.com/dmlc/xgboost;20721;2021-03-20;61;81;240;3700;100;9;488;14460;411
amqp;29202551;https://github.com/celery/py-amqp;252;2021-03-07;9;49;17;131;100;115;80;;
netaddr;28069974;https://github.com/netaddr/netaddr;648;2021-02-08;4;;29;119;100;137;31;10942;467
tensorflow-model-analysis;54737083;https://github.com/tensorflow/model-analysis;1046;2021-03-19;25;31;17;36;36;90;33;;
kubernetes;31216543;https://github.com/kubernetes-client/python;3544;2021-03-14;16;27;85;788;100;70;82;9138;375
tensorflow-data-validation;56114899;https://github.com/tensorflow/data-validation;531;2021-03-19;18;41;35;80;80;47;18;237;8
fsspec;72102096;https://github.com/intake/filesystem_spec;201;2021-03-19;37;;71;181;100;25;71;9439;146
pydata-google-auth;63140741;https://github.com/pydata/pydata-google-auth;26;2020-04-24;5;105;9;10;10;82;15;;
thrift;28717918;https://github.com/apache/thrift;8167;2021-03-20;45;144;;;;;359;2053;252
keras;27150799;https://github.com/keras-team/keras;50896;2021-03-19;75;43;3200;7242;100;22;873;;
plotly;34010240;https://github.com/plotly/plotly.py;9142;2021-01-14;;23;811;1060;100;16;149;46486;1024
celery;28087198;https://github.com/celery/celery;16934;2021-03-22;80;21;440;3957;100;19;927;49217;1125
snowflake-connector-python;34661804;https://github.com/snowflakedb/snowflake-connector-python;185;2021-03-19;15;16;71;170;100;27;36;718;77
ijson;27520314;https://github.com/icrar/ijson;233;2021-03-02;23;;1;34;34;3;;1890;100
billiard;25062528;https://github.com/celery/billiard;315;2021-01-07;4;57;63;137;100;83;72;29351;103
