package_name;pypi_downloads;github_url;stars;last_commit;commit_freq;release_freq;open_issues;closed_issues;api_closed_issues;avg_days_to_close_issue;contributors;dep_repos;dep_pkgs;vulns;license
flake8-import-order;3091095;https://github.com/pycqa/flake8-import-order;234;2020-07-29;3;;9;83;83;68;36;;;0;LGPL-3.0 License
probableparsing;3090965;https://github.com/datamade/probableparsing;3;2016-03-28;0;;1;0;;;;;;0;MIT License
ibm-db-sa;3073248;https://github.com/ibmdb/python-ibmdbsa;20;2021-03-05;1;;23;38;38;200;10;;;0;License not found
pyotp;3066497;https://github.com/pyauth/pyotp;1624;2021-03-02;1;150;3;61;60;119;;2681;107;0;License not permissive (text)
usaddress;3063481;https://github.com/datamade/usaddress;1165;2018-07-17;5;;97;171;100;95;14;298;27;0;MIT License (text)
wget;3050065;https://github.com/steveej/python-wget;38;2014-10-04;0;;2;0;;;;10227;368;0;License not found
django-nose;3049062;https://github.com/jazzband/django-nose;862;2021-03-09;2;261;75;132;100;210;50;7250;160;0;License not permissive (text)
django-phonenumber-field;3043860;https://github.com/stefanfoulis/django-phonenumber-field;1051;2021-01-21;4;;40;122;100;171;82;;;0;MIT License
timeout-decorator;3039553;https://github.com/pnpnpn/timeout-decorator;402;2020-11-15;0;;22;13;13;46;15;1030;96;0;MIT License
requests-kerberos;3030774;https://github.com/requests/requests-kerberos;219;2019-07-02;1;234;29;55;55;130;21;1055;65;1;ISC License
google-compute-engine;3028090;https://github.com/googlecloudplatform/compute-image-packages;349;2020-07-20;13;34;16;159;100;60;79;637;22;0;Apache-2.0 License
verboselogs;3025972;https://github.com/xolox/python-verboselogs;20;2017-08-07;0;;1;4;4;64;4;;;0;MIT License
django-ipware;3024756;https://github.com/un33k/django-ipware;714;2021-02-10;1;;2;34;34;19;14;2990;85;0;MIT License
flake8-quotes;3023913;https://github.com/zheller/flake8-quotes;123;2020-05-12;1;;3;39;37;57;25;2699;187;0;MIT License
pdfrw;3021873;https://github.com/pmaupin/pdfrw;1420;2018-02-16;3;530;91;61;61;78;15;1561;51;0;MIT License (text)
django-mysql;3021868;https://github.com/adamchainz/django-mysql;411;2021-03-19;13;;50;171;100;107;23;;;0;MIT License
cement;3020979;https://github.com/datafolklabs/cement;1012;2020-09-02;10;;65;453;100;82;41;5532;121;0;BSD-3-Clause License
geomet;3020572;https://github.com/geomet/geomet;123;2021-01-20;4;484;6;18;18;385;8;;;0;Apache-2.0 License
flake8-bugbear;3014812;https://github.com/pycqa/flake8-bugbear;519;2021-03-08;2;63;32;52;52;60;36;2850;358;0;MIT License
tifffile;3008556;https://github.com/cgohlke/tifffile;120;2021-03-18;19;;1;68;68;5;;;;0;BSD-3-Clause License
altair;3004547;https://github.com/altair-viz/altair;6506;2021-02-24;46;87;189;1306;100;41;116;8967;146;0;BSD-3-Clause License
clickhouse-cityhash;3002212;https://github.com/xzkostyan/python-cityhash;4;2019-11-18;2;;;;;;;;;0;License not permissive (text)
dominate;2993721;https://github.com/knio/dominate;1196;2020-12-01;3;288;7;100;99;238;18;26561;56;0;LGPL-3.0 License
macholib;2984244;https://github.com/ronaldoussoren/macholib;41;2020-06-25;16;;14;21;21;241;2;;;0;MIT License
aiobotocore;2984214;https://github.com/aio-libs/aiobotocore;631;2021-03-17;10;37;28;174;100;51;33;558;59;0;Apache-2.0 License
google-cloud-dlp;2983661;https://github.com/googleapis/python-dlp;12;2021-03-16;10;22;3;21;21;9;37;449;7;0;Apache-2.0 License
flask-socketio;2980827;https://github.com/miguelgrinberg/flask-socketio;4179;2021-02-07;4;;60;1342;100;1;56;16903;164;0;MIT License
eli5;2977845;https://github.com/eli5-org/eli5;16;2021-01-25;637;;0;0;;;17;899;34;0;MIT License
pysnmp;2962470;https://github.com/etingof/pysnmp;391;2019-12-15;31;88;160;149;100;13;23;;;0;BSD-2-Clause License
wordcloud;2951285;https://github.com/amueller/word_cloud;7951;2021-03-01;5;278;79;349;100;26;58;9429;129;0;MIT License
httpretty;2950694;https://github.com/gabrielfalcao/httpretty;1857;2021-01-17;5;;83;127;100;599;88;4041;250;0;MIT License
django-mptt;2948768;https://github.com/django-mptt/django-mptt;2480;2021-03-04;8;116;106;396;100;135;122;8622;215;0;License not permissive (text)
bidict;2944995;https://github.com/jab/bidict;780;2021-03-12;5;69;1;43;43;66;11;;;0;MPL-2.0 License
pmdarima;2941120;https://github.com/alkaline-ml/pmdarima;840;2021-02-24;21;50;18;209;100;18;13;787;33;0;MIT License
aws-encryption-sdk;2933649;https://github.com/aws/aws-encryption-sdk-python;160;2021-03-17;8;189;65;79;79;101;25;;;1;Apache-2.0 License
rfc3987;2933183;https://github.com/dgerber/rfc3987;42;2018-07-29;0;;0;9;9;30;5;;;0;GPL-3.0 License
onnx;2932567;https://github.com/onnx/onnx;9931;2021-03-18;40;76;451;976;100;8;186;2569;153;0;Apache-2.0 License
django-allauth;2929309;https://github.com/pennersr/django-allauth;6317;2021-02-23;18;;267;1390;100;33;492;58413;121;1;MIT License
attrdict;2918943;https://github.com/bcj/attrdict;236;2019-02-01;1;894;12;17;17;36;5;4167;198;0;MIT License
pyvirtualdisplay;2907380;https://github.com/ponty/pyvirtualdisplay;367;2021-02-27;2;;13;36;36;178;11;3471;68;0;BSD-2-Clause License
rtree;2897890;https://github.com/toblerity/rtree;390;2021-03-20;3;254;19;110;100;183;26;7979;88;0;MIT License
catboost;2889104;https://github.com/catboost/catboost;5767;2021-03-22;348;18;320;1070;100;19;201;;;0;Apache-2.0 License
pysmi;2887802;https://github.com/etingof/pysmi;96;2020-03-21;5;154;15;27;27;41;8;;;0;BSD-2-Clause License
azureml-sdk;2882134;https://github.com/azure/machinelearningnotebooks;2208;2021-03-10;35;13;129;866;100;18;51;;;0;MIT License
azure-multiapi-storage;2880722;https://github.com/azure/azure-multiapi-storage-python;3;2021-02-20;1;52;;;;;9;;;0;MIT License
nose-exclude;2880493;https://github.com/kgrandis/nose-exclude;20;2017-02-01;0;;5;1;1;0;8;;;0;License not permissive (text)
aioprometheus;2877981;https://github.com/claws/aioprometheus;64;2020-09-24;1;;4;9;9;8;6;39;11;0;License not found
connexion;2869728;https://github.com/zalando/connexion;3589;2020-08-10;17;17;346;421;100;42;146;4581;96;0;Apache License (text)
django-import-export;2863507;https://github.com/django-import-export/django-import-export;2064;2021-03-14;12;;76;661;100;56;154;9552;67;0;BSD-2-Clause License
crypto;2861838;https://github.com/chrissimpkins/crypto;33;2016-01-04;2;;10;5;5;16;2;;;0;MIT License
python-logstash;2859215;https://github.com/vklochan/python-logstash;391;2020-02-25;0;;21;26;26;353;12;1225;32;0;MIT License
h2o;2855994;https://github.com/h2oai/h2o-3;5267;2021-03-22;341;;;;;;140;;;0;Apache-2.0 License
typeguard;2855093;https://github.com/agronholm/typeguard;605;2021-03-19;3;;30;112;100;77;18;;;0;MIT License (text)
pdfkit;2841561;https://github.com/jazzcore/python-pdfkit;1371;2021-03-20;2;;3;124;100;690;29;3744;82;0;MIT License
htmlmin;2839511;https://github.com/mankyd/htmlmin;102;2017-12-07;1;;6;18;18;248;19;3246;85;0;License not permissive (text)
pywebhdfs;2837834;https://github.com/pywebhdfs/pywebhdfs;53;2017-01-26;1;;14;16;16;83;;;;0;Apache License (text)
librosa;2834011;https://github.com/librosa/librosa;4373;2021-03-03;30;109;64;786;100;8;71;9655;263;0;ISC License
rope;2832382;https://github.com/python-rope/rope;1104;2021-03-20;21;;72;108;100;202;53;26498;116;1;LGPL-3.0 License
swagger-spec-validator;2827706;https://github.com/yelp/swagger_spec_validator;88;2020-09-28;3;;18;42;42;54;24;;;0;Apache License (text)
contextvars;2822342;https://github.com/magicstack/contextvars;67;2019-04-01;0;548;2;7;7;51;4;;;0;Apache-2.0 License
lark-parser;2811315;https://github.com/lark-parser/lark;2306;2021-03-01;27;40;79;530;100;14;65;1071;238;0;MIT License
venusian;2792384;https://github.com/pylons/venusian;60;2021-03-16;1;;7;29;29;306;19;;;0;License not permissive (text)
mkdocs;2789005;https://github.com/mkdocs/mkdocs;11810;2021-02-28;17;;124;1353;100;30;170;10677;491;0;BSD-2-Clause License
flask-httpauth;2787789;https://github.com/miguelgrinberg/flask-httpauth;954;2021-02-21;1;;4;77;76;80;27;11080;90;0;MIT License
google-cloud-bigquery-datatransfer;2768386;https://github.com/googleapis/python-bigquery-datatransfer;21;2021-03-18;10;36;5;24;24;72;28;379;6;0;Apache-2.0 License
mechanize;2761670;https://github.com/python-mechanize/mechanize;501;2020-09-18;21;;1;45;44;16;12;3877;117;0;License not permissive (text)
python-socketio;2743737;https://github.com/miguelgrinberg/python-socketio;2252;2021-03-10;6;;51;524;100;14;46;14816;182;0;MIT License
diskcache;2740070;https://github.com/grantjenks/python-diskcache;993;2021-01-30;10;;11;138;100;38;20;;;0;Apache License (text)
cmake;2727731;https://github.com/scikit-build/cmake-python-distributions;50;2020-11-11;5;35;12;35;35;55;11;4315;92;0;Apache License (text)
python-engineio;2724821;https://github.com/miguelgrinberg/python-engineio;167;2021-03-11;7;;4;139;100;40;33;11779;79;1;MIT License
django-webpack-loader;2720585;https://github.com/django-webpack/django-webpack-loader;2238;2021-03-11;2;125;50;96;95;31;39;6281;26;0;MIT License (text)
ws4py;2720212;https://github.com/lawouach/websocket-for-python;1078;2018-02-28;5;;54;107;100;173;46;1111;93;0;License not permissive (text)
flask-testing;2719135;https://github.com/jarus/flask-testing;463;2020-12-24;1;300;39;44;41;162;32;11753;116;0;License not permissive (text)
dropbox;2714167;https://github.com/dropbox/dropbox-sdk-python;701;2021-03-09;3;31;14;143;100;159;26;3207;110;0;MIT License
audioread;2713244;https://github.com/beetbox/audioread;359;2020-10-20;2;;26;44;43;106;20;4390;37;0;MIT License
scapy;2711426;https://github.com/secdev/scapy;6103;2021-03-17;87;3;44;1087;100;12;285;4370;162;2;GPL-2.0 License
ipaddr;2709966;https://github.com/google/ipaddr-py;178;2017-09-15;5;;8;111;100;18;6;5792;115;0;Apache-2.0 License
textblob;2699830;https://github.com/sloria/textblob;7590;2021-03-22;5;74;77;150;100;202;26;10707;152;0;MIT License
soundfile;2698074;https://github.com/bastibe/pysoundfile;4;2020-05-26;0;;;;;;;555;39;0;License not found
pydash;2695844;https://github.com/dgilland/pydash;729;2021-03-10;11;;8;87;87;46;20;;;0;MIT License
pywinrm;2689669;https://github.com/diyan/pywinrm;842;2019-11-04;2;289;42;167;100;188;24;1368;41;0;MIT License
tokenizers;2689180;https://github.com/huggingface/tokenizers;4356;2021-03-16;90;7;84;314;100;8;40;3288;55;0;Apache-2.0 License
stackprinter;2674175;https://github.com/cknd/stackprinter;1131;2020-12-15;5;77;7;13;13;54;6;38;13;0;MIT License
facebook-business;2673133;https://github.com/facebook/facebook-python-business-sdk;851;2021-03-02;7;24;;;;;60;;;0;License not permissive (text)
pytimeparse;2662969;https://github.com/wroberts/pytimeparse;195;2019-11-25;1;236;11;5;5;83;6;957;90;0;MIT License
transformers;2661628;https://github.com/huggingface/transformers;42699;2021-03-22;235;14;487;5775;100;1;783;8329;416;0;Apache-2.0 License
django-compressor;2659513;https://github.com/django-compressor/django-compressor;2440;2021-01-12;11;;99;492;100;37;180;;;0;Apache License (text)
