Package name;OSSGadget URL;Metadata URL;Homepage URL;PyPI URL;PyPI 2 URL;Statistics URL;Readthedocs URL;PyPI badge URL;Names Lev. dist.;Names Similarity;Descr. Lev. dist.;GitHub badge;Python lang. perc.;Other languages;OSSGadget position;Final URL;Occ. final URL;Second URL;Occ. second URL;Third URL;Occ. third URL;URLs similarity;Names Lev. dist.;Names Similarity;Descr. Lev. dist.;GitHub badge;Python lang. perc.;Other languages;Final URL position;Real URL;Confidence;Names Lev. dist.;Names Similarity;Descr. Lev. dist.;GitHub badge;Python lang. perc.;Other languages;Real URL position
packaging;https://github.com/pypa/packaging;https://github.com/pypa/packaging;https://github.com/pypa/packaging;https://github.com/pypa/packaging;https://github.com/pypa/packaging;https://github.com/pypa/packaging;;;0/9;Equal;182/1446;False;99.3%;Other (0.7%);TP(?);https://github.com/pypa/packaging;5;;0;;0;Equal;;;;;;;;https://github.com/pypa/packaging;74%;0/9;Equal;182/1446;False;99.3%;Other (0.7%);TP(?)
google-api-core;https://github.com/googleapis/python-api-core;https://github.com/googleapis/python-api-core;;;https://github.com/googleapis/python-api-core;https://github.com/googleapis/python-api-core;;;6/15;Different;40/324;True;94.5%;Shell (5.0%) - Dockerfile (0.5%);TP;https://github.com/googleapis/python-api-core;3;;0;;0;Equal;;;;;;;;https://github.com/googleapis/python-api-core;48%;6/15;Different;40/324;True;94.5%;Shell (5.0%) - Dockerfile (0.5%);TP
wcwidth;https://github.com/jquast/wcwidth;https://github.com/jquast/wcwidth;;;https://github.com/jquast/wcwidth;https://github.com/jquast/wcwidth;;;0/7;Equal;20/1452;True;100.0%;;TP;https://github.com/jquast/wcwidth;3;;0;;0;Equal;;;;;;;;https://github.com/jquast/wcwidth;48%;0/7;Equal;20/1452;True;100.0%;;TP
more-itertools;https://github.com/more-itertools/more-itertools;https://github.com/more-itertools/more-itertools;https://github.com/more-itertools/more-itertools;https://github.com/more-itertools/more-itertools;https://github.com/more-itertools/more-itertools;https://github.com/more-itertools/more-itertools;https://github.com/more-itertools/more-itertools;;0/14;Equal;25/1384;False;100.0%;;TP(?);https://github.com/more-itertools/more-itertools;6;;0;;0;Equal;;;;;;;;https://github.com/more-itertools/more-itertools;83%;0/14;Equal;25/1384;False;100.0%;;TP(?)
grpcio;https://github.com/grpc/grpc;;;;;;;;2/6;Substring;1181/1464;False;12.5%;C++ (46.1%) - C (17.5%) - C# (8.6%) - Ruby (3.7%) - Objective-C (2.3%) - Other (9.3%);;;0;;0;;0;Different;;;;;;;;;100%;;;;;;;
googleapis-common-protos;https://github.com/googleapis/python-api-common-protos;https://github.com/googleapis/python-api-common-protos;;;https://github.com/googleapis/python-api-common-protos;https://github.com/googleapis/python-api-common-protos;;;8/24;Different;25/182;True;94.8%;Shell (4.6%) - Dockerfile (0.6%);TP;https://github.com/googleapis/python-api-common-protos;3;;0;;0;Equal;;;;;;;;https://github.com/googleapis/python-api-common-protos;48%;8/24;Different;25/182;True;94.8%;Shell (4.6%) - Dockerfile (0.6%);TP
pytest;https://github.com/pytest-dev/pytest;;https://github.com/pytest-dev/pytest;https://github.com/pytest-dev/pytest;https://github.com/pytest-dev/pytest;https://github.com/pytest-dev/pytest;https://github.com/pytest-dev/pytest;https://github.com/pytest-dev/pytest;0/6;Equal;7/1438;True;100.0%;;TP;https://github.com/pytest-dev/pytest;6;;0;;0;Equal;;;;;;;;https://github.com/pytest-dev/pytest;84%;0/6;Equal;7/1438;True;100.0%;;TP
jsonschema;https://github.com/julian/jsonschema;https://github.com/julian/jsonschema;https://github.com/julian/jsonschema;https://github.com/julian/jsonschema;https://github.com/julian/jsonschema;https://github.com/julian/jsonschema;https://github.com/julian/jsonschema;;0/10;Equal;342/1446;True;99.3%;JavaScript (0.7%);TP;https://github.com/julian/jsonschema;6;;0;;0;Equal;;;;;;;;https://github.com/julian/jsonschema;83%;0/10;Equal;342/1446;True;99.3%;JavaScript (0.7%);TP
enum34;;;;;;;;;;;;;;;;;0;;0;;0;Equal;;;;;;;;;100%;;;;;;;
google-cloud-core;https://github.com/googleapis/python-cloud-core;https://github.com/googleapis/python-cloud-core;;;https://github.com/googleapis/python-cloud-core;https://github.com/googleapis/python-cloud-core;;;6/17;Different;51/603;True;83.4%;Shell (15.0%) - Dockerfile (1.6%);TP;https://github.com/googleapis/python-cloud-core;3;;0;;0;Equal;;;;;;;;https://github.com/googleapis/python-cloud-core;48%;6/17;Different;51/603;True;83.4%;Shell (15.0%) - Dockerfile (1.6%);TP
