Package name;Old URL;Useless;Metadata URL;PyPI URL;OSSGadget URL;Final URL;Accuracy;Different;Names Lev. dist.;Names Similarity;Statistics;Descr. Lev. dist.;Readthedocs;GitHub badge;PyPI badge;Python lang. perc.;Other languages
stop-words;https://github.com/alir3z4/python-stop-words;False;https://github.com/alir3z4/python-stop-words;https://github.com/alir3z4/python-stop-words;https://github.com/alir3z4/python-stop-words;https://github.com/alir3z4/python-stop-words;100%;False;7/17;Substring;True;1021/1021;False;True;True;100.0%;
trafaret;https://github.com/deepwalker/trafaret;False;https://github.com/deepwalker/trafaret;https://github.com/deepwalker/trafaret_schema;https://github.com/deepwalker/trafaret;https://github.com/deepwalker/trafaret;66%;False;0/8;Equal;True;1458/1458;False;False;True;95.6%;JavaScript (4.2%) - HTML (0.2%)
pytest-azurepipelines;https://github.com/tonybaloney/pytest-azurepipelines;False;https://github.com/tonybaloney/pytest-azurepipelines;https://github.com/tonybaloney/pytest-azurepipelines;https://github.com/tonybaloney/pytest-azurepipelines;https://github.com/tonybaloney/pytest-azurepipelines;100%;False;0/21;Equal;True;1456/1456;False;False;True;57.1%;CSS (33.0%) - Shell (9.0%) - Dockerfile (0.9%)
property-manager;https://github.com/xolox/python-property-manager;False;https://github.com/xolox/python-property-manager;https://github.com/xolox/python-property-manager;https://github.com/xolox/python-property-manager;https://github.com/xolox/python-property-manager;100%;False;7/23;Substring;False;1452/1452;False;True;False;97.0%;Makefile (3.0%)
pyspark-dist-explore;https://github.com/pyspark-dist-explore/pyspark-dist-explore;True;;;;;0%;True;20/20;Different;False;0/0;False;False;False;0%;
dlib;https://github.com/davisking/dlib;False;https://github.com/davisking/dlib;https://github.com/davisking/dlib;https://github.com/davisking/dlib;https://github.com/davisking/dlib;100%;False;0/4;Equal;True;1442/1480;False;False;False;0.8%;C++ (97.8%) - CMake (0.6%) - Cuda (0.5%) - C (0.2%) - XSLT (0.1%)
stopit;https://github.com/glenfant/stopit;False;https://github.com/glenfant/stopit;https://github.com/glenfant/stopit;https://github.com/glenfant/stopit;https://github.com/glenfant/stopit;100%;False;0/6;Equal;False;169/1426;False;False;False;100.0%;
oslo-messaging;https://github.com/oslo-messaging/oslo-messaging;True;;;;;0%;True;14/14;Different;False;392/392;False;False;False;0%;
django-object-actions;https://github.com/crccheck/django-object-actions;False;https://github.com/crccheck/django-object-actions;https://github.com/crccheck/django-object-actions;https://github.com/crccheck/django-object-actions;https://github.com/crccheck/django-object-actions;100%;False;0/21;Equal;True;2/1465;False;True;False;88.4%;Makefile (6.9%) - HTML (3.2%) - Dockerfile (1.5%)
grpcio-status;https://github.com/grpcio-status/grpcio-status;True;;;;;0%;True;13/13;Different;False;274/274;False;False;False;0%;
