Package name;Old URL;Useless;Metadata URL;PyPI URL;OSSGadget URL;Final URL;Accuracy;Different
comtypes;https://github.com/enthought/comtypes;False;https://github.com/enthought/comtypes;https://github.com/enthought/comtypes;https://github.com/enthought/comtypes;https://github.com/enthought/comtypes;100%;False
ncclient;https://github.com/ncclient/ncclient;False;https://github.com/ncclient/ncclient;https://github.com/ncclient/ncclient;https://github.com/ncclient/ncclient;https://github.com/ncclient/ncclient;100%;False
pygresql;https://github.com/pygresql/pygresql;False;https://github.com/pygresql/pygresql;https://github.com/pygresql/pygresql;https://github.com/pygresql/pygresql;https://github.com/pygresql/pygresql;100%;False
mecab-python3;https://github.com/samurait/mecab-python3;False;https://github.com/samurait/mecab-python3;https://github.com/samurait/mecab-python3;https://github.com/samurait/mecab-python3;https://github.com/samurait/mecab-python3;100%;False
pyroute2;https://github.com/svinota/pyroute2;False;https://github.com/svinota/pyroute2;https://github.com/svinota/pyroute2;https://github.com/svinota/pyroute2;https://github.com/svinota/pyroute2;100%;False
graphite-web;https://github.com/graphite-project/graphite-web;False;https://github.com/graphite-project/graphite-web;https://github.com/graphite-project/carbon;https://github.com/graphite-project/graphite-web;https://github.com/graphite-project/graphite-web;66%;False
google-cloud-scheduler;https://github.com/googleapis/python-scheduler;False;https://github.com/googleapis/python-scheduler;https://github.com/googleapis/python-scheduler;https://github.com/googleapis/python-scheduler;https://github.com/googleapis/python-scheduler;100%;False
eth-abi;https://github.com/ethereum/eth-abi;False;https://github.com/ethereum/eth-abi;https://github.com/ethereum/eth-abi;https://github.com/ethereum/eth-abi;https://github.com/ethereum/eth-abi;100%;False
zeroconf;https://github.com/jstasiak/python-zeroconf;False;https://github.com/jstasiak/python-zeroconf;https://github.com/jstasiak/python-zeroconf;https://github.com/jstasiak/python-zeroconf;https://github.com/jstasiak/python-zeroconf;100%;False
latexcodec;https://github.com/mcmtroffaes/latexcodec;False;https://github.com/mcmtroffaes/latexcodec;https://github.com/mcmtroffaes/latexcodec;https://github.com/mcmtroffaes/latexcodec;https://github.com/mcmtroffaes/latexcodec;100%;False
img2pdf;https://github.com/img2pdf/img2pdf;True;;;;;0%;True
sphinx-autobuild;https://github.com/garetjax/sphinx-autobuild;False;https://github.com/garetjax/sphinx-autobuild;;;https://github.com/garetjax/sphinx-autobuild;33%;False
tlslite;https://github.com/moxie0/convergence;False;;;https://github.com/moxie0/convergence;https://github.com/moxie0/convergence;33%;False
pyrepl;https://github.com/pyrepl/pyrepl;True;;;;;0%;True
currencyconverter;https://github.com/alexprengere/currencyconverter;False;https://github.com/alexprengere/currencyconverter;https://github.com/alexprengere/currencyconverter;https://github.com/alexprengere/currencyconverter;https://github.com/alexprengere/currencyconverter;100%;False
pytest-custom-exit-code;https://github.com/yashtodi94/pytest-custom_exit_code;False;https://github.com/yashtodi94/pytest-custom_exit_code;https://github.com/yashtodi94/pytest-custom_exit_code;https://github.com/yashtodi94/pytest-custom_exit_code;https://github.com/yashtodi94/pytest-custom_exit_code;100%;False
pybtex;https://github.com/pybtex/pybtex;True;;;;;0%;True
git-url-parse;https://github.com/retr0h/git-url-parse;False;https://github.com/retr0h/git-url-parse;https://github.com/retr0h/git-url-parse;https://github.com/retr0h/git-url-parse;https://github.com/retr0h/git-url-parse;100%;False
datasketch;https://github.com/datasketch/datasketch;True;https://github.com/ekzhu/datasketch;;https://github.com/ekzhu/datasketch;https://github.com/ekzhu/datasketch;66%;True
geventhttpclient-wheels;https://github.com/gwik/geventhttpclient;False;https://github.com/gwik/geventhttpclient;https://github.com/gwik/geventhttpclient;https://github.com/gwik/geventhttpclient;https://github.com/gwik/geventhttpclient;100%;False
django-user-agents;https://github.com/selwin/django-user_agents;False;https://github.com/selwin/django-user_agents;https://github.com/selwin/django-user_agents;https://github.com/selwin/django-user_agents;https://github.com/selwin/django-user_agents;100%;False
pyscreeze;https://github.com/asweigart/pyscreeze;False;https://github.com/asweigart/pyscreeze;https://github.com/asweigart/pyscreeze;https://github.com/asweigart/pyscreeze;https://github.com/asweigart/pyscreeze;100%;False
httpie;https://github.com/jakubroztocil/httpie;False;https://github.com/httpie/httpie;https://github.com/httpie/httpie;https://github.com/httpie/httpie;https://github.com/httpie/httpie;100%;True
ez-setup;https://github.com/activestate/ez_setup;False;https://github.com/activestate/ez_setup;https://github.com/activestate/ez_setup;https://github.com/activestate/ez_setup;https://github.com/activestate/ez_setup;100%;False
django-prometheus;https://github.com/korfuri/django-prometheus;False;https://github.com/korfuri/django-prometheus;https://github.com/korfuri/django-prometheus;https://github.com/korfuri/django-prometheus;https://github.com/korfuri/django-prometheus;100%;False
pandas-datareader;https://github.com/pydata/pandas-datareader;False;https://github.com/pydata/pandas-datareader;https://github.com/pydata/pandas-datareader;https://github.com/pydata/pandas-datareader;https://github.com/pydata/pandas-datareader;100%;False
alpha-vantage;https://github.com/romeltorres/alpha_vantage;False;https://github.com/romeltorres/alpha_vantage;https://github.com/romeltorres/alpha_vantage;https://github.com/romeltorres/alpha_vantage;https://github.com/romeltorres/alpha_vantage;100%;False
flake8-blind-except;https://github.com/elijahandrews/flake8-blind-except;False;https://github.com/elijahandrews/flake8-blind-except;https://github.com/elijahandrews/flake8-blind-except;https://github.com/elijahandrews/flake8-blind-except;https://github.com/elijahandrews/flake8-blind-except;100%;False
sphinxcontrib-spelling;https://github.com/sphinx-contrib/spelling;False;https://github.com/sphinx-contrib/spelling;https://github.com/sphinx-contrib/spelling;https://github.com/sphinx-contrib/spelling;https://github.com/sphinx-contrib/spelling;100%;False
requests-cache;https://github.com/reclosedev/requests-cache;False;https://github.com/reclosedev/requests-cache;https://github.com/reclosedev/requests-cache;https://github.com/reclosedev/requests-cache;https://github.com/reclosedev/requests-cache;100%;False
resource;https://github.com/russellluo/resource;False;https://github.com/russellluo/resource;https://github.com/russellluo/resource;https://github.com/russellluo/resource;https://github.com/russellluo/resource;100%;False
pygtrie;https://github.com/mina86/pygtrie;False;https://github.com/mina86/pygtrie;https://github.com/mina86/pygtrie;https://github.com/mina86/pygtrie;https://github.com/mina86/pygtrie;100%;False
jsonform;https://github.com/russellluo/jsonform;False;https://github.com/russellluo/jsonform;https://github.com/russellluo/jsonform;https://github.com/russellluo/jsonform;https://github.com/russellluo/jsonform;100%;False
jaraco-classes;https://github.com/jaraco/jaraco.classes;False;https://github.com/jaraco/jaraco.classes;https://github.com/jaraco/jaraco.classes;https://github.com/jaraco/jaraco.classes;https://github.com/jaraco/jaraco.classes;100%;False
jsonsir;https://github.com/russellluo/jsonsir;False;https://github.com/russellluo/jsonsir;https://github.com/russellluo/jsonsir;https://github.com/russellluo/jsonsir;https://github.com/russellluo/jsonsir;100%;False
python-easyconfig;https://github.com/russellluo/easyconfig;False;https://github.com/russellluo/easyconfig;https://github.com/russellluo/easyconfig;https://github.com/russellluo/easyconfig;https://github.com/russellluo/easyconfig;100%;False
python-etcd;https://github.com/jplana/python-etcd;False;https://github.com/jplana/python-etcd;https://github.com/jplana/python-etcd;https://github.com/jplana/python-etcd;https://github.com/jplana/python-etcd;100%;False
dumbyaml;https://github.com/crdoconnor/dumbyaml;False;https://github.com/crdoconnor/dumbyaml;https://github.com/crdoconnor/dumbyaml;https://github.com/crdoconnor/dumbyaml;https://github.com/crdoconnor/dumbyaml;100%;False
django-classy-tags;https://github.com/ojii/django-classy-tags;False;https://github.com/ojii/django-classy-tags;https://github.com/ojii/django-classy-tags;https://github.com/ojii/django-classy-tags;https://github.com/ojii/django-classy-tags;100%;False
envs;https://github.com/bjinwright/envs;False;https://github.com/bjinwright/envs;https://github.com/bjinwright/envs;https://github.com/bjinwright/envs;https://github.com/bjinwright/envs;100%;False
antlr4-python2-runtime;https://github.com/antlr4-python2-runtime/antlr4-python2-runtime;True;;;;;0%;True
collectd;https://github.com/appliedsec/collectd;False;https://github.com/appliedsec/collectd;https://github.com/appliedsec/collectd;https://github.com/appliedsec/collectd;https://github.com/appliedsec/collectd;100%;False
textfsm;https://github.com/google/textfsm;False;https://github.com/google/textfsm;https://github.com/google/textfsm;https://github.com/google/textfsm;https://github.com/google/textfsm;100%;False
robotframework-selenium2library;https://github.com/robotframework/selenium2library;False;https://github.com/robotframework/selenium2library;https://github.com/robotframework/selenium2library;https://github.com/robotframework/selenium2library;https://github.com/robotframework/selenium2library;100%;False
pytest-pep8;https://github.com/jcrocholl/pep8;False;;;https://github.com/jcrocholl/pep8;https://github.com/jcrocholl/pep8;33%;False
distance;https://github.com/doukremt/distance;False;https://github.com/doukremt/distance;https://github.com/doukremt/distance;https://github.com/doukremt/distance;https://github.com/doukremt/distance;100%;False
flask-cache;https://github.com/thadeusb/flask-cache;False;https://github.com/thadeusb/flask-cache;https://github.com/thadeusb/flask-cache;https://github.com/thadeusb/flask-cache;https://github.com/thadeusb/flask-cache;100%;False
keras2onnx;https://github.com/onnx/keras-onnx;False;https://github.com/onnx/keras-onnx;https://github.com/onnx/keras-onnx;https://github.com/onnx/keras-onnx;https://github.com/onnx/keras-onnx;100%;False
auth0-python;https://github.com/auth0/auth0-python;False;https://github.com/auth0/auth0-python;https://github.com/auth0/auth0-python;https://github.com/auth0/auth0-python;https://github.com/auth0/auth0-python;100%;False
plotnine;https://github.com/has2k1/plotnine;False;https://github.com/has2k1/plotnine;https://github.com/has2k1/plotnine;https://github.com/has2k1/plotnine;https://github.com/has2k1/plotnine;100%;False
colorclass;https://github.com/robpol86/colorclass;False;https://github.com/robpol86/colorclass;https://github.com/robpol86/colorclass;https://github.com/robpol86/colorclass;https://github.com/robpol86/colorclass;100%;False
skl2onnx;https://github.com/onnx/sklearn-onnx;False;https://github.com/onnx/sklearn-onnx;https://github.com/onnx/sklearn-onnx;https://github.com/onnx/sklearn-onnx;https://github.com/onnx/sklearn-onnx;100%;False
django-csp;https://github.com/mozilla/django-csp;False;https://github.com/mozilla/django-csp;https://github.com/mozilla/django-csp;https://github.com/mozilla/django-csp;https://github.com/mozilla/django-csp;100%;False
mandrill;https://github.com/mandrill/mandrill;True;;;;;0%;True
splunk-sdk;https://github.com/splunk/splunk-sdk-python;False;https://github.com/splunk/splunk-sdk-python;https://github.com/splunk/splunk-sdk-python;https://github.com/splunk/splunk-sdk-python;https://github.com/splunk/splunk-sdk-python;100%;False
flex;https://github.com/pipermerriam/flex;False;https://github.com/pipermerriam/flex;https://github.com/pipermerriam/flex;https://github.com/pipermerriam/flex;https://github.com/pipermerriam/flex;100%;False
scs;https://github.com/cvxgrp/scs;False;https://github.com/cvxgrp/scs;https://github.com/cvxgrp/scs;https://github.com/cvxgrp/scs;https://github.com/cvxgrp/scs;100%;False
getch;https://github.com/getch/getch;True;;;;;0%;True
ecos;https://github.com/embotech/ecos;False;https://github.com/embotech/ecos;https://github.com/embotech/ecos;https://github.com/embotech/ecos;https://github.com/embotech/ecos;100%;False
