Package name;OSSGadget URL;Metadata URL;Homepage URL;PyPI URL;PyPI 2 URL;Statistics URL;Readthedocs URL;PyPI badge URL;Final URL;Real URL
grpc-google-logging-v2;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;;;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;;;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis
grpc-google-pubsub-v1;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;;;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;;;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis
gax-google-logging-v2;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;;;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;;;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis
gax-google-pubsub-v1;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;;;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;;;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis
proto-google-cloud-pubsub-v1;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;;;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;;;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis
gapic-google-cloud-pubsub-v1;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;;;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;;;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis
protorpc;;;https://github.com/google/protorpc;;;;;;https://github.com/google/protorpc;https://github.com/google/protorpc
hacking;https://github.com/pycqa/pycodestyle;;;;;;;;;https://github.com/openstack/hacking
pywinauto;;;;;;;https://github.com/pywinauto/pywinauto;;https://github.com/pywinauto/pywinauto;https://github.com/pywinauto/pywinauto
onnxruntime;https://github.com/microsoft/onnxruntime;;;;;https://github.com/microsoft/onnxruntime;;;https://github.com/microsoft/onnxruntime;https://github.com/microsoft/onnxruntime
limits;;;https://github.com/alisaifee/limits;;;;;;https://github.com/alisaifee/limits;https://github.com/alisaifee/limits
ortools;https://github.com/google/or-tools;;;;;https://github.com/google/or-tools;;;https://github.com/google/or-tools;https://github.com/google/or-tools
htcondor;;;;;;;https://github.com/htcondor/htcondor;;https://github.com/htcondor/htcondor;https://github.com/htcondor/htcondor
civis;https://github.com/civisanalytics/civis-python;;;;https://github.com/wesm/feather;;https://github.com/civisanalytics/civis-python;https://github.com/civisanalytics/civis-python;https://github.com/civisanalytics/civis-python;https://github.com/civisanalytics/civis-python
m2crypto;;;;;;;;;;https://github.com/m2crypto/m2crypto
deepmerge;;;https://github.com/toumorokoshi/deepmerge;;;;https://github.com/toumorokoshi/deepmerge;https://github.com/toumorokoshi/deepmerge;https://github.com/toumorokoshi/deepmerge;https://github.com/toumorokoshi/deepmerge
compatibility-lib;https://github.com/googlecloudplatform/cloud-opensource-python;;;;;https://github.com/googlecloudplatform/cloud-opensource-python;;;https://github.com/googlecloudplatform/cloud-opensource-python;https://github.com/googlecloudplatform/cloud-opensource-python
osqp;https://github.com/oxfordcontrol/osqp-python;;https://github.com/oxfordcontrol/osqp;;https://github.com/conda-forge/osqp-feedstock;;;https://github.com/oxfordcontrol/osqp-python;https://github.com/oxfordcontrol/osqp;https://github.com/oxfordcontrol/osqp-python
gsutil;;;https://github.com/googlecloudplatform/gsutil;;;;;;https://github.com/googlecloudplatform/gsutil;https://github.com/googlecloudplatform/gsutil
maturin;https://github.com/pyo3/maturin;;;;https://github.com/pyo3/setuptools-rust;;https://github.com/tox-dev/tox;https://github.com/pyo3/maturin;https://github.com/pyo3/setuptools-rust;https://github.com/pyo3/maturin
img2pdf;;;;;;;;https://github.com/josch/img2pdf;https://github.com/josch/img2pdf;https://github.com/josch/img2pdf
sphinx-autobuild;;;;https://github.com/executablebooks/sphinx-autobuild;;;;;https://github.com/executablebooks/sphinx-autobuild;https://github.com/garetjax/sphinx-autobuild
tlslite;https://github.com/moxie0/convergence;;;;;;;;;https://github.com/trevp/tlslite
pytest-pep8;https://github.com/pycqa/pycodestyle;;;;;;;;;https://github.com/davidraleigh/pytest-pep8
scs;https://github.com/cvxgrp/scs;https://github.com/cvxgrp/scs;;https://github.com/cvxgrp/scs;https://github.com/cvxgrp/scs;https://github.com/cvxgrp/scs;;;https://github.com/cvxgrp/scs;https://github.com/cvxgrp/scs
ecos;https://github.com/embotech/ecos;https://github.com/embotech/ecos;https://github.com/embotech/ecos;https://github.com/embotech/ecos;https://github.com/embotech/ecos;https://github.com/embotech/ecos;;;https://github.com/embotech/ecos;https://github.com/embotech/ecos
createsend;;;https://github.com/campaignmonitor/createsend-python;;;;;;https://github.com/campaignmonitor/createsend-python;https://github.com/campaignmonitor/createsend-python
django-haystack;;;https://github.com/django-haystack/django-haystack;;;;https://github.com/django-haystack/django-haystack;https://github.com/django-haystack/django-haystack;https://github.com/django-haystack/django-haystack;https://github.com/django-haystack/django-haystack
rpy2;;;https://github.com/rpy2/rpy2;;;;;;https://github.com/rpy2/rpy2;https://github.com/rpy2/rpy2
fastcluster;https://github.com/dmuellner/fastcluster;;;;https://github.com/cran/fastcluster;;;;https://github.com/cran/fastcluster;https://github.com/dmuellner/fastcluster
nimbusml;https://github.com/microsoft/nimbusml;;;;https://github.com/dotnet/machinelearning;;;;https://github.com/dotnet/machinelearning;https://github.com/microsoft/nimbusml
python-heatclient;;;https://github.com/openstack/python-heatclient;;;;;;https://github.com/openstack/python-heatclient;https://github.com/openstack/python-heatclient
peakutils;;;;;;;https://github.com/irskep/sphinx-better-theme;;https://github.com/irskep/sphinx-better-theme;https://github.com/lucashn/peakutils
testresources;;;;;;;;;;https://github.com/testing-cabal/testresources
construct;;;https://github.com/construct/construct;;;;;;https://github.com/construct/construct;https://github.com/construct/construct
asyncssh;https://github.com/ronf/asyncssh;;;;https://github.com/jedisct1/libsodium;;https://github.com/ronf/asyncssh;;https://github.com/jedisct1/libsodium;https://github.com/ronf/asyncssh
twitter-common-lang;https://github.com/twitter-archive/commons;https://github.com/twitter-archive/commons;;;https://github.com/twitter-archive/commons;https://github.com/twitter-archive/commons;;;https://github.com/twitter-archive/commons;https://github.com/twitter-archive/commons
twitter-common-dirutil;https://github.com/twitter-archive/commons;https://github.com/twitter-archive/commons;;;https://github.com/twitter-archive/commons;https://github.com/twitter-archive/commons;;;https://github.com/twitter-archive/commons;https://github.com/twitter-archive/commons
pycontracts;https://github.com/andreacensi/contracts;;;;;https://github.com/andreacensi/contracts;;;https://github.com/andreacensi/contracts;https://github.com/andreacensi/contracts
twitter-common-options;https://github.com/twitter-archive/commons;https://github.com/twitter-archive/commons;;;https://github.com/twitter-archive/commons;https://github.com/twitter-archive/commons;;;https://github.com/twitter-archive/commons;https://github.com/twitter-archive/commons
twitter-common-log;https://github.com/twitter-archive/commons;https://github.com/twitter-archive/commons;;;https://github.com/twitter-archive/commons;https://github.com/twitter-archive/commons;;;https://github.com/twitter-archive/commons;https://github.com/twitter-archive/commons
flask-debugtoolbar;https://github.com/jazzband/django-debug-toolbar;;https://github.com/flask-debugtoolbar/flask-debugtoolbar;;https://github.com/jazzband/django-debug-toolbar;;https://github.com/flask-debugtoolbar/flask-debugtoolbar;https://github.com/flask-debugtoolbar/flask-debugtoolbar;https://github.com/flask-debugtoolbar/flask-debugtoolbar;https://github.com/flask-debugtoolbar/flask-debugtoolbar
testrepository;;;https://github.com/testing-cabal/testrepository;;;;;;https://github.com/testing-cabal/testrepository;https://github.com/testing-cabal/testrepository
