Package name;OSSGadget PyPI URL;OSSGadget GitHub URL;Metadata URL;Homepage URL;PyPI URL;PyPI 2 URL;Statistics URL;Readthedocs URL;PyPI badge URL
pickleshare;https://github.com/pickleshare/pickleshare;https://github.com/pickleshare/pickleshare;https://github.com/pickleshare/pickleshare;https://github.com/pickleshare/pickleshare;https://github.com/pickleshare/pickleshare;https://github.com/pickleshare/pickleshare;https://github.com/pickleshare/pickleshare;;
tabulate;https://github.com/astanin/python-tabulate;https://github.com/tabulate/tabulate;https://github.com/astanin/python-tabulate;https://github.com/astanin/python-tabulate;https://github.com/astanin/python-tabulate;https://github.com/astanin/python-tabulate;https://github.com/astanin/python-tabulate;https://github.com/tox-dev/tox;
psycopg2-binary;https://github.com/psycopg/psycopg2;;https://github.com/psycopg/psycopg2;;;https://github.com/psycopg/psycopg2;https://github.com/psycopg/psycopg2;;https://github.com/psycopg/psycopg2
bcrypt;https://github.com/pyca/bcrypt;;https://github.com/pyca/bcrypt;https://github.com/pyca/bcrypt;https://github.com/pyca/bcrypt;;https://github.com/pyca/bcrypt;https://github.com/p-h-c/phc-winner-argon2;https://github.com/pyca/bcrypt
typing;https://github.com/python/typing;;;https://github.com/python/cpython;https://github.com/python/typing;https://github.com/python/typing;https://github.com/python/typing;;
azure-common;https://github.com/azure/azure-sdk-for-python;;https://github.com/azure/azure-sdk-for-python;;;https://github.com/azure/azure-sdk-for-python;https://github.com/azure/azure-sdk-for-python;;
argparse;https://github.com/thomaswaldmann/argparse;;https://github.com/thomaswaldmann/argparse;https://github.com/thomaswaldmann/argparse;https://github.com/thomaswaldmann/argparse;;https://github.com/thomaswaldmann/argparse;;
absl-py;https://github.com/abseil/abseil-py;;https://github.com/abseil/abseil-py;;;https://github.com/abseil/abseil-py;https://github.com/abseil/abseil-py;;
prometheus-client;https://github.com/prometheus/client_python;;https://github.com/prometheus/client_python;;;https://github.com/prometheus/client_python;https://github.com/prometheus/client_python;;
pyzmq;https://github.com/zeromq/pyzmq;;;https://github.com/zeromq/pyzmq;https://github.com/zeromq/pyzmq;https://github.com/zeromq/libzmq;;;https://github.com/zeromq/pyzmq
soupsieve;https://github.com/facelessuser/soupsieve;;https://github.com/facelessuser/soupsieve;https://github.com/facelessuser/soupsieve;https://github.com/facelessuser/soupsieve;https://github.com/facelessuser/soupsieve;https://github.com/facelessuser/soupsieve;https://github.com/readthedocs/sphinx_rtd_theme;https://github.com/facelessuser/soupsieve
typed-ast;https://github.com/python/typed_ast;;https://github.com/python/typed_ast;;;https://github.com/python/typed_ast;https://github.com/python/typed_ast;;
tensorflow-estimator;https://github.com/tensorflow/estimator;;;;;;https://github.com/tensorflow/estimator;;
azure-storage-blob;https://github.com/azure/azure-sdk-for-python;;;https://github.com/azure/azure-sdk-for-python;https://github.com/azure/azure-sdk-for-python;;https://github.com/azure/azure-sdk-for-python;;
paramiko;https://github.com/paramiko/paramiko;https://github.com/paramiko/paramiko;https://github.com/paramiko/paramiko;https://github.com/paramiko/paramiko;https://github.com/paramiko/paramiko;;https://github.com/paramiko/paramiko;;
markdown;https://github.com/python-markdown/markdown;;;https://github.com/python-markdown/markdown;https://github.com/python-markdown/markdown;https://github.com/python-markdown/markdown;https://github.com/python-markdown/markdown;;https://github.com/python-markdown/markdown
pynacl;https://github.com/pyca/pynacl;https://github.com/pynacl/pynacl;https://github.com/pyca/pynacl;https://github.com/pyca/pynacl;https://github.com/pyca/pynacl;https://github.com/jedisct1/libsodium;https://github.com/pyca/pynacl;https://github.com/pyca/pynacl;https://github.com/pyca/pynacl
atomicwrites;https://github.com/untitaker/python-atomicwrites;;https://github.com/untitaker/python-atomicwrites;https://github.com/untitaker/python-atomicwrites;https://github.com/untitaker/python-atomicwrites;https://github.com/untitaker/python-atomicwrites;https://github.com/untitaker/python-atomicwrites;;https://github.com/untitaker/python-atomicwrites
gunicorn;https://github.com/benoitc/gunicorn;;;;https://github.com/benoitc/gunicorn;;;;https://github.com/benoitc/gunicorn
lazy-object-proxy;https://github.com/ionelmc/python-lazy-object-proxy;;https://github.com/ionelmc/python-lazy-object-proxy;https://github.com/ionelmc/python-lazy-object-proxy;https://github.com/ionelmc/python-lazy-object-proxy;https://github.com/ionelmc/python-lazy-object-proxy;https://github.com/ionelmc/python-lazy-object-proxy;https://github.com/ionelmc/python-lazy-object-proxy;
pyflakes;https://github.com/pycqa/pyflakes;https://github.com/pycqa/pyflakes;https://github.com/pycqa/pyflakes;https://github.com/pycqa/pyflakes;https://github.com/pycqa/pyflakes;https://github.com/pycqa/pyflakes;https://github.com/pycqa/pyflakes;;https://github.com/pycqa/pyflakes
google-auth-oauthlib;https://github.com/googleapis/google-auth-library-python-oauthlib;;https://github.com/googleapis/google-auth-library-python-oauthlib;;;https://github.com/googleapis/google-auth-library-python-oauthlib;https://github.com/googleapis/google-auth-library-python-oauthlib;https://github.com/googleapis/google-auth-library-python-oauthlib;
