package_name;pypi_downloads;github_url;stars;last_commit;commit_freq;release_freq;open_issues;closed_issues;api_closed_issues;avg_days_to_close_issue;contributors;dep_repos;dep_pkgs;libraries_io_url;sourcerank;dep_repos;dep_pkgs
joblib;112159636;https://github.com/joblib/joblib;2126;2020-08-04;10;0;222;333;100;51;88;48,949;1,063;https://libraries.io/pypi/joblib;14;132;3.31K
lxml;110460726;https://github.com/lxml/lxml;1741;2020-08-13;49;0;;;0;0;111;116,098;5,081;https://libraries.io/pypi/lxml;24;1.63K;33.3K
configparser;109089165;https://github.com/psf/black;17160;2020-08-17;26;0.69;308;796;100;13;189;26,887;1,785;https://libraries.io/pypi/configparser;21;423;5.97K
prompt-toolkit;106503418;https://github.com/prompt-toolkit/python-prompt-toolkit;6452;2020-08-11;30;0;312;447;100;25;141;97,320;579;https://libraries.io/pypi/prompt-toolkit;20;118;266
asn1crypto;105633231;https://github.com/wbond/asn1crypto;198;2020-08-13;11;0;18;105;100;58;26;62,884;261;https://libraries.io/pypi/asn1crypto;21;90;6.75K
ipython;104847183;https://github.com/ipython/ipython;14317;2020-08-07;199;0.89;1.3k;5102;100;17;690;140,073;2,280;https://libraries.io/pypi/ipython;26;334;32K
pexpect;104718502;;;;0;0;;;0;0;;;;https://libraries.io/pypi/pexpect;14;196;15.4K
redis;104133365;https://github.com/andymccurdy/redis-py;8743;2020-08-17;11;0;75;744;100;33;202;;;https://libraries.io/pypi/redis;24;669;24.7K
isodate;103789524;http://github.com/gweis/isodate;84;2018-08-02;1;0;15;11;11;379;13;7,194;258;https://libraries.io/pypi/isodate;16;62;1.47K
httplib2;103390575;https://github.com/httplib2/httplib2;377;2020-05-20;9;0;31;58;57;133;46;52,296;762;https://libraries.io/pypi/httplib2;20;228;15.4K
matplotlib;102834900;https://github.com/matplotlib/matplotlib;12024;2020-08-18;315;0.82;1.3k;5589;100;2;985;234,097;10,298;https://libraries.io/pypi/matplotlib;26;852;39.6K
ptyprocess;101973427;https://github.com/pexpect/ptyprocess;112;2019-01-07;1;0.13;11;15;15;109;11;;;https://libraries.io/pypi/ptyprocess;18;44;12.7K
mock;101942511;https://github.com/testing-cabal/mock;464;2020-06-03;20;0;0;408;100;248;64;;;https://libraries.io/pypi/mock;24;444;48.4K
mccabe;101545581;https://github.com/pycqa/mccabe;315;2020-08-14;1;0;4;32;32;45;15;127,417;335;https://libraries.io/pypi/mccabe;18;56;15.5K
google-api-python-client;100743438;https://github.com/GoogleCloudPlatform/google-cloud-python;3322;2020-08-10;114;9.14;18;3302;0;0;293;;;https://libraries.io/pypi/google-api-python-client;24;318;6.29K
boto;100617412;https://github.com/boto/boto3;5694;2020-08-17;42;9.26;271;1789;100;7;89;66,287;3,559;https://libraries.io/pypi/boto;22;253;22.9K
tornado;100610951;;;;0;0;;;0;0;;;;https://libraries.io/pypi/tornado;25;540;24.1K
defusedxml;98871986;https://github.com/tiran/defusedxml;180;2020-05-04;3;0.2;9;19;19;136;6;82,351;330;https://libraries.io/pypi/defusedxml;19;118;6.27K
beautifulsoup4;95149224;;;;0;0;;;0;0;;;;https://libraries.io/pypi/beautifulsoup4;18;1.58K;30.8K
tqdm;94903807;https://github.com/tqdm/tqdm;15490;2020-08-03;24;1.95;216;444;100;24;88;98,726;4,800;https://libraries.io/pypi/tqdm;24;1.25K;13.1K
docker;93785103;https://github.com/docker/docker-py;4854;2020-08-17;35;1.22;267;1016;100;18;348;13,515;876;https://libraries.io/pypi/docker;25;384;2.18K
traitlets;92551186;;;;0;0;;;0;0;;;;https://libraries.io/pypi/traitlets;21;117;14K
tensorboard;92323704;https://github.com/tensorflow/tensorboard;4788;2020-08-17;96;0.9;478;836;100;14;169;35,748;214;https://libraries.io/pypi/tensorboard;19;14;1.81K
appdirs;90893079;http://github.com/ActiveState/appdirs;597;2020-07-07;1;0.06;23;48;47;245;26;63,282;1,336;https://libraries.io/pypi/appdirs;24;513;12.8K
pycodestyle;90742886;http://github.com/PyCQA/pycodestyle;4134;2020-05-26;9;0.29;91;511;100;81;109;86,618;648;https://libraries.io/pypi/pycodestyle;22;83;10.6K
